id,created_at,payload
3062585,2021-06-23 20:30:36.615,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'QXX5', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062590,2021-06-23 20:30:56.645,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'DEGI', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062595,2021-06-23 20:31:16.601,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'JBGY', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062600,2021-06-23 20:31:36.607,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'MO9W', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062605,2021-06-23 20:31:56.603,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'PJI0', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062610,2021-06-23 20:32:16.610,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'P7FH', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062615,2021-06-23 20:32:36.612,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'LTV2', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062620,2021-06-23 20:32:56.620,"{'DeviceID': 'MAMAGPS1', 'MessageID': '2HWH', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062625,2021-06-23 20:33:16.605,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'QAO2', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062630,2021-06-23 20:33:36.619,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'TA1Q', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062639,2021-06-23 20:34:16.631,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'G5H6', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062644,2021-06-23 20:34:36.613,"{'DeviceID': 'MAMAGPS1', 'MessageID': 'MSAY', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
3062649,2021-06-23 20:34:56.604,"{'DeviceID': 'MAMAGPS1', 'MessageID': '3MHF', 'Payload': 'Lat:0.00000 Lng:0.0000 Alt:0.00', 'path': 'MAMAGPS1PAPADUCK', 'hops': 1, 'duckType': 2}"
